Wavelength [nm],Transmittance [%]
277,0.0154543
276,0.0153773
275,0.0153429
274,0.0153386
273,0.0152426
272,0.0151729
271,0.0151122
270,0.0150822
269,0.0149871
268,0.0149325
267,0.0148979
266,0.0148937
265,0.0149875
264,0.0150099
263,0.0150751
262,0.0153174
261,0.0155371
260,0.0157538
259,0.0159623
258,0.0165221
257,0.0170634
256,0.0176852
255,0.0184055
254,0.0193613
253,0.020483
252,0.0219243
251,0.0236924
250,0.0264392
